titulo,enlace,fecha,descripcion,categoria,fuente,imagen,contenido
Premier League: Empate agónico de Manchester United ante Tottenham con un decisivo gol de Matthijs de Ligt,https://rpp.pe/futbol/ligas-internacionales/premier-league-por-la-fecha-11-tottenham-recibira-a-manchester-united-noticia-1662786,"Sat, 08 Nov 2025 21:45:08 -0500",Tottenham vs Manchester United se enfrentaron por la Inglaterra - Premier League. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810524.jpg?imgdimension=look,Tottenham vs Manchester United se enfrentaron por la Inglaterra - Premier League. Aquí todos los detalles y resumen del encuentro.
LaLiga EA Sports: Girona derrotó 1-0 a Alavés con un gol de Viktor Tsygankov,https://rpp.pe/futbol/ligas-internacionales/laliga-ea-sports-girona-se-concentra-para-salir-del-ultimo-lugar-ante-alaves-noticia-1662787,"Sat, 08 Nov 2025 21:40:16 -0500",Girona vs Alavés se enfrentaron por la España - Primera División. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810523.jpg?imgdimension=look,Girona vs Alavés se enfrentaron por la España - Primera División. Aquí todos los detalles y resumen del encuentro.
Serie A: Como 1907 y Cagliari no se sacaron ventaja y terminaron sin goles,https://rpp.pe/futbol/ligas-internacionales/serie-a-como-1907-y-cagliari-se-miden-por-la-fecha-11-noticia-1662788,"Sat, 08 Nov 2025 21:35:37 -0500",Como 1907 vs Cagliari se enfrentaron por la Italia - Serie A. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810522.jpg?imgdimension=look,Como 1907 vs Cagliari se enfrentaron por la Italia - Serie A. Aquí todos los detalles y resumen del encuentro.
Operativo en Challapalca: incautan equipos tecnológicos en penal presuntamente utilizados para extorsionar,https://rpp.pe/peru/actualidad/operativo-en-challapalca-incautan-equipos-tecnologicos-en-penal-presuntamente-utilizados-para-extorsionar-noticia-1663059,"Sat, 08 Nov 2025 21:37:47 -0500","La intervención se realizó en el pabellón 1, segundo piso (lado “A”). El Inpe indicó que los internos involucrados en este caso serán trasladados al penal de Cochamarca.",Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/532953_1810520.jpg?imgdimension=look,"La intervención se realizó en el pabellón 1, segundo piso (lado “A”). El Inpe indicó que los internos involucrados en este caso serán trasladados al penal de Cochamarca."
Panta Walon goleó 4-1 a Universitario y se proclamó campeón del Futsal Pro 2025,https://rpp.pe/futbol/mas-futbol/universitario-vs-panta-walon-en-vivo-a-que-hora-juegan-y-donde-ver-final-liga-futsal-pro-2025-via-youtube-dyj-sports-link-gratis-partidos-de-hoy-noticia-1662902,"Sat, 08 Nov 2025 18:45:45 -0500",Universitario no pudo ante Panta Walon y se quedó con las manos vacias en la gran final del Futsal Pro 2025.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/160916_1810512.jpg?imgdimension=look,Universitario no pudo ante Panta Walon y se quedó con las manos vacias en la gran final del Futsal Pro 2025.
Serie A: Lecce no pudo con Hellas Verona y empataron sin goles,https://rpp.pe/futbol/ligas-internacionales/serie-a-hellas-verona-se-enfrentara-a-lecce-por-la-fecha-11-noticia-1662789,"Sat, 08 Nov 2025 21:30:33 -0500",Lecce vs Hellas Verona se enfrentaron por la Italia - Serie A. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810521.jpg?imgdimension=look,Lecce vs Hellas Verona se enfrentaron por la Italia - Serie A. Aquí todos los detalles y resumen del encuentro.
Universitario ganó 3-0 a Deportivo Soan por la Liga Peruana de Vóley,https://rpp.pe/voley/mas-voley/universitario-vs-deportivo-soan-en-vivo-ver-liga-peruana-de-voley-2025-horario-y-canales-tv-via-latina-voley-en-vivo-noticia-1662850,"Sat, 08 Nov 2025 21:00:32 -0500",Universitario se llevó el triunfo en el partido por la fecha 3 de la Liga Peruana de Vóley.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/401440_1810514.jpg?imgdimension=look,Universitario se llevó el triunfo en el partido por la fecha 3 de la Liga Peruana de Vóley.
Premier League: Vibrante 3-2 en el triunfo de West Ham United sobre Burnley,https://rpp.pe/futbol/ligas-internacionales/premier-league-west-ham-united-se-enfrentara-ante-burnley-por-la-fecha-11-noticia-1662792,"Sat, 08 Nov 2025 21:20:52 -0500",West Ham United vs Burnley se enfrentaron por la Inglaterra - Premier League. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810519.jpg?imgdimension=look,West Ham United vs Burnley se enfrentaron por la Inglaterra - Premier League. Aquí todos los detalles y resumen del encuentro.
Chorrillos: vecinos viven atemorizados por asaltos en la avenida Alameda San Marcos,https://rpp.pe/lima/policiales/chorrillos-vecinos-viven-atemorizados-por-asaltos-en-la-avenida-alameda-san-marcos-noticia-1663058,"Sat, 08 Nov 2025 21:21:43 -0500","En las imágenes captadas por las cámaras de seguridad, los delincuentes intimidaron a sus víctimas con armas de fuego, logrando sustraer sus pertenencias antes de escapar con dirección desconocida.",Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/08/231723_1810516.jpg?imgdimension=look,"En las imágenes captadas por las cámaras de seguridad, los delincuentes intimidaron a sus víctimas con armas de fuego, logrando sustraer sus pertenencias antes de escapar con dirección desconocida."
LaLiga EA Sports: Sevilla derrotó 1-0 a Osasuna con un gol de penal,https://rpp.pe/futbol/ligas-internacionales/laliga-ea-sports-sevilla-luchara-por-vencer-su-racha-negativa-frente-a-osasuna-noticia-1662795,"Sat, 08 Nov 2025 21:15:56 -0500",Sevilla vs Osasuna se enfrentaron por la España - Primera División. Aquí todos los detalles y resumen del encuentro.,Sin categoría,RPP,https://f.rpp-noticias.io/2025/11/09/1810515.jpg?imgdimension=look,Sevilla vs Osasuna se enfrentaron por la España - Primera División. Aquí todos los detalles y resumen del encuentro.
